Year,Value
1850,-0.07
1851,-0.03
1852,-0.09
1853,-0.23
1854,0.01
1855,-0.21
1856,-0.38
1857,-0.17
1858,-0.20
1859,-0.05
1860,-0.49
1861,-0.25
1862,-0.30
1863,-0.08
1864,-0.11
1865,-0.12
1866,-0.10
1867,-0.34
1868,-0.10
1869,-0.08
1870,-0.37
1871,-0.24
1872,-0.29
1873,-0.13
1874,-0.26
1875,-0.31
1876,-0.23
1877,0.11
1878,-0.08
1879,-0.30
1880,-0.16
1881,-0.09
1882,-0.24
1883,-0.23
1884,-0.33
1885,-0.09
1886,-0.26
1887,-0.26
1888,-0.06
1889,-0.20
1890,-0.23
1891,-0.06
1892,-0.49
1893,-0.27
1894,-0.18
1895,-0.08
1896,0.01
1897,-0.20
1898,-0.15
1899,-0.27
1900,-0.06
1901,-0.37
1902,-0.27
1903,-0.46
1904,-0.34
1905,-0.09
1906,-0.19
1907,-0.41
1908,-0.44
1909,-0.42
1910,-0.61
1911,-0.13
1912,-0.45
1913,-0.07
1914,0.00
1915,-0.24
1916,-0.71
1917,-0.48
1918,-0.26
1919,-0.38
1920,-0.42
1921,-0.15
1922,-0.21
1923,-0.01
1924,-0.37
1925,0.08
1926,-0.21
1927,-0.25
1928,-0.14
1929,-0.45
1930,-0.02
1931,-0.06
1932,-0.25
1933,-0.34
1934,-0.01
1935,-0.11
1936,0.00
1937,0.03
1938,-0.07
1939,0.47
1940,0.33
1941,0.25
1942,0.12
1943,0.24
1944,0.16
1945,-0.03
1946,-0.21
1947,-0.05
1948,-0.18
1949,-0.10
1950,-0.12
1951,0.21
1952,0.06
1953,0.07
1954,-0.12
1955,-0.27
1956,-0.02
1957,0.18
1958,0.08
1959,0.02
1960,0.26
1961,-0.09
1962,0.06
1963,0.05
1964,-0.23
1965,-0.02
1966,0.01
1967,0.04
1968,-0.07
1969,0.33
1970,-0.10
1971,-0.05
1972,0.14
1973,0.05
1974,-0.06
1975,-0.10
1976,0.12
1977,0.11
1978,0.12
1979,0.50
1980,0.23
1981,0.45
1982,0.41
1983,0.27
1984,0.06
1985,0.17
1986,0.17
1987,0.48
1988,0.32
1989,0.40
1990,0.41
1991,0.32
1992,0.22
1993,0.18
1994,0.40
1995,0.32
1996,0.38
1997,0.59
1998,0.59
1999,0.47
2000,0.31
2001,0.63
2002,0.50
2003,0.75
2004,0.49
2005,0.74
2006,0.77
2007,0.52
2008,0.57
2009,0.70
2010,0.52
2011,0.61
2012,0.56
2013,0.72
2014,0.80
2015,1.14
2016,0.91
2017,0.99
2018,0.94
2019,1.10
2020,0.84
2021,0.87
2022,0.85
