Year,Value
1850,-0.25
1851,-0.26
1852,-0.27
1853,-0.16
1854,-0.06
1855,-0.17
1856,-0.29
1857,-0.33
1858,-0.20
1859,-0.05
1860,-0.20
1861,-0.28
1862,-0.28
1863,-0.13
1864,-0.18
1865,-0.18
1866,-0.07
1867,-0.21
1868,-0.10
1869,-0.15
1870,-0.05
1871,-0.02
1872,-0.21
1873,-0.27
1874,-0.29
1875,-0.22
1876,-0.16
1877,0.03
1878,0.26
1879,-0.04
1880,-0.11
1881,-0.08
1882,-0.02
1883,-0.17
1884,-0.31
1885,-0.28
1886,-0.28
1887,-0.27
1888,-0.34
1889,0.05
1890,-0.23
1891,-0.21
1892,-0.27
1893,-0.29
1894,-0.16
1895,-0.31
1896,-0.16
1897,-0.14
1898,-0.47
1899,-0.30
1900,-0.03
1901,0.03
1902,-0.27
1903,-0.17
1904,-0.53
1905,-0.36
1906,-0.19
1907,-0.25
1908,-0.51
1909,-0.52
1910,-0.52
1911,-0.59
1912,-0.32
1913,-0.39
1914,-0.18
1915,-0.05
1916,-0.27
1917,-0.65
1918,-0.28
1919,-0.20
1920,-0.11
1921,-0.23
1922,-0.11
1923,-0.33
1924,-0.07
1925,-0.27
1926,0.09
1927,-0.33
1928,-0.23
1929,-0.32
1930,-0.08
1931,-0.07
1932,-0.14
1933,-0.26
1934,-0.30
1935,-0.13
1936,-0.20
1937,-0.19
1938,0.05
1939,-0.15
1940,0.14
1941,0.11
1942,0.08
1943,-0.02
1944,0.30
1945,0.09
1946,0.02
1947,0.05
1948,-0.21
1949,0.05
1950,-0.07
1951,-0.16
1952,-0.03
1953,0.15
1954,-0.14
1955,-0.29
1956,-0.16
1957,-0.09
1958,0.12
1959,0.19
1960,-0.25
1961,0.10
1962,0.16
1963,-0.13
1964,-0.15
1965,-0.11
1966,-0.02
1967,0.05
1968,0.18
1969,0.09
1970,0.07
1971,-0.09
1972,0.06
1973,0.35
1974,-0.01
1975,0.11
1976,-0.13
1977,0.25
1978,0.23
1979,0.20
1980,0.32
1981,0.45
1982,0.12
1983,0.44
1984,0.28
1985,0.25
1986,0.33
1987,0.15
1988,0.46
1989,0.36
1990,0.78
1991,0.38
1992,0.46
1993,0.38
1994,0.30
1995,0.49
1996,0.37
1997,0.51
1998,0.68
1999,0.39
2000,0.59
2001,0.57
2002,0.85
2003,0.61
2004,0.66
2005,0.77
2006,0.67
2007,0.69
2008,0.74
2009,0.54
2010,0.90
2011,0.67
2012,0.54
2013,0.68
2014,0.82
2015,0.97
2016,1.35
2017,1.17
2018,0.93
2019,1.16
2020,1.16
2021,0.89
2022,1.11
