Year,Value
1850,-0.20
1851,0.00
1852,-0.03
1853,-0.13
1854,-0.08
1855,-0.20
1856,-0.19
1857,-0.21
1858,-0.22
1859,-0.13
1860,-0.23
1861,-0.11
1862,-0.24
1863,-0.21
1864,-0.24
1865,-0.10
1866,-0.20
1867,-0.04
1868,-0.19
1869,-0.17
1870,-0.21
1871,-0.24
1872,-0.20
1873,-0.19
1874,-0.16
1875,-0.17
1876,-0.19
1877,0.14
1878,0.02
1879,-0.14
1880,-0.17
1881,-0.17
1882,-0.11
1883,-0.29
1884,-0.31
1885,-0.28
1886,-0.28
1887,-0.19
1888,-0.15
1889,-0.19
1890,-0.28
1891,-0.11
1892,-0.17
1893,-0.28
1894,-0.24
1895,-0.10
1896,-0.02
1897,-0.04
1898,-0.23
1899,-0.02
1900,-0.05
1901,-0.19
1902,-0.22
1903,-0.42
1904,-0.49
1905,-0.21
1906,-0.26
1907,-0.32
1908,-0.36
1909,-0.36
1910,-0.38
1911,-0.39
1912,-0.52
1913,-0.34
1914,-0.18
1915,-0.19
1916,-0.29
1917,-0.21
1918,-0.16
1919,-0.24
1920,-0.18
1921,-0.18
1922,-0.30
1923,-0.26
1924,-0.29
1925,-0.13
1926,-0.13
1927,-0.08
1928,-0.16
1929,-0.23
1930,-0.10
1931,0.00
1932,-0.10
1933,-0.26
1934,-0.11
1935,-0.13
1936,-0.08
1937,0.15
1938,0.06
1939,-0.01
1940,0.18
1941,0.09
1942,0.00
1943,0.08
1944,0.32
1945,0.22
1946,-0.06
1947,-0.12
1948,-0.10
1949,-0.10
1950,-0.06
1951,0.17
1952,0.09
1953,0.07
1954,-0.01
1955,-0.04
1956,-0.23
1957,0.17
1958,-0.03
1959,0.10
1960,0.13
1961,0.08
1962,-0.04
1963,0.13
1964,-0.15
1965,-0.07
1966,0.06
1967,-0.04
1968,-0.11
1969,0.15
1970,0.06
1971,0.01
1972,0.04
1973,0.11
1974,-0.02
1975,0.04
1976,0.03
1977,0.20
1978,0.10
1979,0.28
1980,0.21
1981,0.23
1982,0.23
1983,0.35
1984,0.20
1985,0.16
1986,0.04
1987,0.40
1988,0.41
1989,0.40
1990,0.30
1991,0.39
1992,0.06
1993,0.21
1994,0.28
1995,0.44
1996,0.28
1997,0.59
1998,0.48
1999,0.46
2000,0.43
2001,0.58
2002,0.66
2003,0.66
2004,0.52
2005,0.73
2006,0.69
2007,0.61
2008,0.63
2009,0.74
2010,0.62
2011,0.61
2012,0.75
2013,0.77
2014,0.87
2015,0.91
2016,0.92
2017,0.84
2018,0.81
2019,0.97
2020,0.98
2021,0.92
2022,0.90
