Year,Value
1850,-0.10
1851,-0.06
1852,-0.06
1853,-0.03
1854,-0.13
1855,-0.14
1856,-0.35
1857,-0.24
1858,-0.21
1859,-0.11
1860,-0.27
1861,-0.19
1862,-0.30
1863,-0.24
1864,-0.16
1865,-0.08
1866,-0.07
1867,-0.22
1868,-0.12
1869,-0.15
1870,-0.11
1871,-0.09
1872,-0.14
1873,-0.13
1874,-0.15
1875,-0.11
1876,-0.16
1877,0.12
1878,0.05
1879,-0.08
1880,-0.22
1881,-0.09
1882,-0.18
1883,-0.12
1884,-0.37
1885,-0.38
1886,-0.22
1887,-0.29
1888,-0.12
1889,-0.07
1890,-0.25
1891,-0.13
1892,-0.31
1893,-0.21
1894,-0.19
1895,-0.15
1896,-0.01
1897,-0.06
1898,-0.18
1899,-0.10
1900,-0.11
1901,-0.09
1902,-0.23
1903,-0.32
1904,-0.44
1905,-0.18
1906,-0.21
1907,-0.34
1908,-0.35
1909,-0.40
1910,-0.30
1911,-0.41
1912,-0.38
1913,-0.33
1914,-0.25
1915,-0.07
1916,-0.31
1917,-0.26
1918,-0.28
1919,-0.27
1920,-0.27
1921,-0.13
1922,-0.27
1923,-0.29
1924,-0.22
1925,-0.24
1926,-0.22
1927,-0.16
1928,-0.16
1929,-0.29
1930,-0.12
1931,0.00
1932,-0.15
1933,-0.21
1934,-0.09
1935,-0.15
1936,-0.06
1937,0.01
1938,-0.06
1939,-0.02
1940,0.15
1941,0.22
1942,0.00
1943,0.06
1944,0.20
1945,0.11
1946,-0.11
1947,-0.01
1948,-0.03
1949,-0.09
1950,-0.09
1951,0.10
1952,0.07
1953,0.09
1954,-0.08
1955,-0.11
1956,-0.12
1957,0.01
1958,0.02
1959,0.08
1960,0.08
1961,0.05
1962,0.10
1963,0.04
1964,0.00
1965,0.00
1966,0.09
1967,-0.02
1968,-0.05
1969,0.11
1970,0.03
1971,0.00
1972,0.06
1973,0.16
1974,0.04
1975,0.04
1976,-0.03
1977,0.18
1978,0.06
1979,0.23
1980,0.27
1981,0.27
1982,0.19
1983,0.31
1984,0.16
1985,0.10
1986,0.13
1987,0.46
1988,0.38
1989,0.33
1990,0.36
1991,0.41
1992,0.13
1993,0.31
1994,0.32
1995,0.45
1996,0.35
1997,0.42
1998,0.70
1999,0.41
2000,0.41
2001,0.62
2002,0.59
2003,0.60
2004,0.32
2005,0.65
2006,0.55
2007,0.58
2008,0.57
2009,0.72
2010,0.66
2011,0.72
2012,0.64
2013,0.61
2014,0.62
2015,0.77
2016,0.86
2017,0.83
2018,0.80
2019,0.91
2020,0.91
2021,0.92
2022,0.89
